date,city,pax
2015-12-01,VISAKHAPATNAM,158313.0
2016-01-01,AGARTALA,80658.0
2016-01-01,AGATTI ISLAND,1813.0
2016-01-01,AGRA,1508.0
2016-01-01,AHMEDABAD,529375.0
2016-01-01,AIZAWL,12829.0
2016-01-01,AMRITSAR,82521.0
2016-01-01,AURANGABAD,26543.0
2016-01-01,BAGDOGRA,92164.0
2016-01-01,BELGAUM,8952.0
2016-01-01,BENGALURU,1366678.0
2016-01-01,BHAVNAGAR,3575.0
2016-01-01,BHOPAL,61424.0
2016-01-01,BHUBANESWAR,177623.0
2016-01-01,BHUJ,13185.0
2016-01-01,CHANDIGARH,102934.0
2016-01-01,CHENNAI,952070.0
2016-01-01,COCHIN,20435.0
2016-01-01,COIMBATORE,137046.0
2016-01-01,DEHRADUN,34610.0
2016-01-01,DELHI,3046851.0
2016-01-01,DHARAMSALA,6173.0
2016-01-01,DIBRUGARH,26508.0
2016-01-01,DIMAPUR,10457.0
2016-01-01,DIU,3040.0
2016-01-01,DURGAPUR,1182.0
2016-01-01,GAYA,7413.0
2016-01-01,GOA,485431.0
2016-01-01,GORAKHPUR,442.0
2016-01-01,GUWAHATI,250828.0
2016-01-01,GWALIOR,1182.0
2016-01-01,HUBLI,4916.0
2016-01-01,HYDERABAD,873626.0
2016-01-01,IMPHAL,63149.0
2016-01-01,INDORE,147130.0
