date,market,pax,a,b,is_imputed,is_covid,pax_a_to_b,pax_b_to_a
2015-07-01,AHMEDABAD – BENGALURU,25557.0,AHMEDABAD,BENGALURU,False,False,12967.0,12590.0
2015-07-01,JAIPUR – MUMBAI,53555.0,JAIPUR,MUMBAI,False,False,25939.0,27616.0
2015-07-01,CHENNAI – KOLKATA,54782.0,CHENNAI,KOLKATA,False,False,26495.0,28287.0
2015-07-01,DELHI – INDORE,37359.0,DELHI,INDORE,False,False,18483.0,18876.0
2015-07-01,AMRITSAR – DELHI,53597.0,AMRITSAR,DELHI,False,False,26176.0,27421.0
2015-07-01,HYDERABAD – VISAKHAPATNAM,53051.0,HYDERABAD,VISAKHAPATNAM,False,False,26993.0,26058.0
2015-07-01,HYDERABAD – KOLKATA,33403.0,HYDERABAD,KOLKATA,False,False,16789.0,16614.0
2015-07-01,DELHI – VARANASI,51643.0,DELHI,VARANASI,False,False,25095.0,26548.0
2015-07-01,GUWAHATI – KOLKATA,73529.0,GUWAHATI,KOLKATA,False,False,37251.0,36278.0
2015-07-01,LUCKNOW – MUMBAI,54929.0,LUCKNOW,MUMBAI,False,False,27081.0,27848.0
2015-07-01,DELHI – KOCHI,34815.0,DELHI,KOCHI,False,False,18400.0,16415.0
2015-07-01,MUMBAI – VARANASI,15701.0,MUMBAI,VARANASI,False,False,7714.0,7987.0
2015-07-01,DELHI – RANCHI,32744.0,DELHI,RANCHI,False,False,16583.0,16161.0
2015-07-01,CHANDIGARH – DELHI,40413.0,CHANDIGARH,DELHI,False,False,20414.0,19999.0
2015-07-01,CHENNAI – COIMBATORE,51268.0,CHENNAI,COIMBATORE,False,False,26055.0,25213.0
2015-07-01,DELHI – RAIPUR,27682.0,DELHI,RAIPUR,False,False,13543.0,14139.0
2015-07-01,AGARTALA – KOLKATA,46533.0,AGARTALA,KOLKATA,False,False,24332.0,22201.0
2015-07-01,BENGALURU – MANGALURU,25137.0,BENGALURU,MANGALURU,False,False,12679.0,12458.0
2015-07-01,DELHI – LEH,32242.0,DELHI,LEH,False,False,15936.0,16306.0
2015-07-01,BENGALURU – BHUBANESWAR,11499.0,BENGALURU,BHUBANESWAR,False,False,5816.0,5683.0
2015-07-01,BENGALURU – VARANASI,3286.0,BENGALURU,VARANASI,False,False,1604.0,1682.0
2015-07-01,BENGALURU – LUCKNOW,11549.0,BENGALURU,LUCKNOW,False,False,5773.0,5776.0
